timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packets,bytes,duration,attack_type
2023-02-15 00:00:00,2.225.198.192,187.212.119.147,TCP,12234,14007,692,908540,257.55,Benign
2023-01-27 00:00:00,80.218.154.56,152.150.52.115,ICMP,38207,29699,48,67796,86.82,Benign
2023-07-10 00:00:00,105.61.158.228,240.223.198.243,ICMP,15959,41807,671,538387,247.39,Benign
2023-03-22 00:00:00,171.152.172.80,127.47.31.19,TCP,13279,24298,476,739428,20.61,Benign
2023-12-25 00:00:00,216.22.148.145,153.170.171.249,TCP,64799,11103,160,952498,4.74,Benign
2023-02-23 00:00:00,165.75.124.148,117.229.67.224,UDP,54196,25856,138,58856,170.21,Benign
2023-04-09 00:00:00,245.181.243.165,173.46.92.96,TCP,23270,22791,564,950327,42.2,DoS
2023-01-25 00:00:00,83.226.61.209,174.173.187.55,UDP,18455,57420,873,662680,131.89,Benign
2023-01-19 00:00:00,9.183.76.178,72.159.127.60,UDP,11117,7892,47,157175,19.03,Probe
2023-05-03 00:00:00,252.55.62.204,81.23.59.108,TCP,63778,47561,723,694588,51.49,Benign
2023-10-27 00:00:00,150.19.118.118,48.120.113.157,UDP,41235,10028,918,604212,30.03,Benign
2023-08-26 00:00:00,91.216.148.30,12.220.110.246,UDP,64328,11899,898,879853,186.33,Benign
2023-11-07 00:00:00,36.175.33.143,11.161.196.134,UDP,7877,41768,844,171703,11.87,Benign
2023-11-22 00:00:00,160.171.244.177,248.5.137.231,UDP,4317,23784,730,917351,199.55,Benign
2023-03-22 00:00:00,31.13.124.132,179.78.135.103,UDP,40215,49357,840,932323,268.34,Benign
2023-10-21 00:00:00,246.117.185.194,192.53.126.103,TCP,38706,17269,840,928892,261.53,Benign
2023-06-28 00:00:00,18.243.193.102,196.149.174.165,TCP,63034,28580,214,65417,65.51,Benign
2023-10-07 00:00:00,124.203.135.35,243.28.123.130,UDP,26020,42672,118,252095,204.76,U2R
2023-02-17 00:00:00,85.1.109.135,167.1.207.147,ICMP,30854,49819,766,366151,195.88,Benign
2023-12-14 00:00:00,204.201.195.76,87.189.97.224,ICMP,41846,17034,21,716438,264.35,Probe
2023-05-18 00:00:00,102.135.87.105,183.75.28.242,TCP,10204,63681,899,44892,137.95,Benign
2023-08-27 00:00:00,135.65.44.110,40.64.64.84,ICMP,37045,46443,665,382776,198.6,Benign
2023-07-19 00:00:00,178.85.97.146,77.70.144.48,ICMP,1389,958,948,595434,157.2,Benign
2023-10-03 00:00:00,114.19.12.109,16.243.9.67,TCP,59265,11595,539,93241,36.89,Benign
2023-08-13 00:00:00,167.226.101.17,51.229.30.116,UDP,27909,43143,189,680290,3.62,U2R
2023-02-08 00:00:00,17.177.81.47,243.101.81.216,UDP,38086,24777,506,196516,95.86,Probe
2023-06-30 00:00:00,240.219.234.211,135.64.113.169,UDP,54153,19614,430,634694,11.19,Benign
2023-01-25 00:00:00,179.133.61.73,42.164.223.11,ICMP,21510,64507,323,900026,45.03,Benign
2023-06-30 00:00:00,138.82.80.3,44.86.253.134,UDP,25041,44022,350,897034,202.38,Benign
2023-08-24 00:00:00,211.241.128.97,223.218.28.34,ICMP,49979,11517,799,981012,95.45,Benign
2023-09-03 00:00:00,72.16.75.35,4.53.0.45,UDP,25622,32426,995,19763,131.43,Benign
2023-11-12 00:00:00,96.144.20.147,151.148.5.241,TCP,19577,50017,455,435055,255.85,Benign
2023-10-05 00:00:00,190.5.133.127,141.73.192.191,UDP,51056,51134,274,803851,31.32,DoS
2023-05-17 00:00:00,185.209.22.146,168.28.25.158,ICMP,2677,12441,104,568975,235.7,Benign
2023-12-04 00:00:00,200.236.20.216,13.18.10.195,TCP,53113,53881,328,952200,295.87,Benign
2023-02-22 00:00:00,18.20.117.181,224.104.106.149,UDP,53838,30140,987,513343,268.82,Benign
2023-12-03 00:00:00,142.68.14.139,247.87.74.244,UDP,40227,44529,501,126956,78.48,Benign
2023-10-26 00:00:00,161.88.66.119,18.148.114.89,ICMP,37621,6592,628,995204,281.55,R2L
2023-04-30 00:00:00,115.62.178.192,20.48.204.187,TCP,59952,65503,82,229814,143.68,Benign
2023-06-25 00:00:00,157.239.141.24,63.111.214.140,ICMP,30705,51106,855,516029,252.53,Benign
2023-03-01 00:00:00,32.47.30.113,247.243.236.10,ICMP,19065,22341,780,751043,14.86,DoS
2023-12-13 00:00:00,87.134.215.147,242.173.99.180,ICMP,65495,23341,673,725134,159.89,Benign
2023-07-10 00:00:00,57.187.114.205,240.1.64.241,ICMP,65027,4551,410,632978,212.81,DoS
2023-09-04 00:00:00,35.211.155.61,220.73.85.17,TCP,27239,32536,226,801757,240.42,Benign
2023-04-20 00:00:00,70.197.132.49,228.135.232.16,ICMP,43616,39020,128,571192,247.97,Benign
2023-03-25 00:00:00,123.145.230.227,143.44.235.40,UDP,23784,28098,629,676425,217.46,DoS
2023-06-08 00:00:00,25.107.53.40,241.106.70.163,UDP,59540,39423,787,802396,192.25,U2R
2023-07-12 00:00:00,152.111.9.112,51.166.83.32,UDP,37625,23785,373,105781,198.73,Benign
2023-02-03 00:00:00,172.42.23.33,244.22.70.103,UDP,56830,44226,331,449294,295.87,Benign
2023-01-05 00:00:00,93.38.36.79,129.179.78.132,TCP,46152,1382,257,213101,117.33,Benign
2023-12-20 00:00:00,83.217.30.136,66.25.191.223,ICMP,63143,19425,759,894712,30.11,Benign
2023-05-16 00:00:00,125.122.98.36,36.72.183.161,TCP,6001,40036,180,989289,180.9,Benign
2023-03-22 00:00:00,97.70.232.130,156.211.138.203,ICMP,17076,46851,357,974725,98.41,Benign
2023-05-10 00:00:00,226.91.245.230,244.166.26.144,UDP,47139,49126,785,637185,12.12,R2L
2023-04-13 00:00:00,19.202.26.35,7.18.65.28,TCP,39225,37091,106,49463,280.81,Benign
2023-03-23 00:00:00,91.239.210.120,24.92.23.41,UDP,47752,7940,175,153168,88.65,DoS
2023-05-29 00:00:00,140.178.146.83,3.198.74.184,ICMP,42270,82,888,839473,123.88,Benign
2023-08-18 00:00:00,11.155.205.33,75.146.146.60,UDP,63823,36359,21,7141,193.0,Benign
2023-03-05 00:00:00,189.153.37.27,167.114.229.246,ICMP,3668,61957,390,706271,61.33,Benign
2023-03-01 00:00:00,241.211.218.81,191.155.157.10,TCP,7823,4512,506,734043,183.84,Benign
2023-08-08 00:00:00,199.18.50.44,161.10.69.162,UDP,13890,54465,576,980971,66.95,Benign
2023-12-22 00:00:00,217.150.189.3,196.75.254.0,ICMP,61546,40686,754,227925,33.44,Benign
2023-01-22 00:00:00,235.46.165.46,117.61.186.220,TCP,32442,62600,445,892655,217.38,Probe
2023-10-15 00:00:00,255.137.179.77,92.67.2.203,TCP,34660,32041,992,984042,21.11,Benign
2023-10-20 00:00:00,244.182.0.161,15.139.165.99,TCP,33940,1047,658,25181,221.96,Probe
2023-09-30 00:00:00,6.183.159.159,248.137.64.237,ICMP,29932,48911,730,880933,151.37,Benign
2023-04-21 00:00:00,62.139.155.67,201.101.160.70,TCP,23123,17039,406,281041,163.53,Probe
2023-05-09 00:00:00,134.22.145.142,230.40.139.33,UDP,52947,48030,410,86087,48.11,R2L
2023-08-04 00:00:00,107.165.138.9,43.250.119.87,ICMP,21427,55130,248,372717,192.06,DoS
2023-04-29 00:00:00,31.232.248.241,206.181.209.228,UDP,25530,25885,502,627492,99.03,Benign
2023-05-06 00:00:00,83.133.3.93,193.119.247.189,TCP,10075,63152,411,560126,46.38,Benign
2023-05-02 00:00:00,7.223.250.225,122.189.126.190,TCP,17767,23882,194,384704,79.29,U2R
2023-10-15 00:00:00,237.53.178.105,156.158.227.178,ICMP,22717,63276,386,776716,259.82,U2R
2023-01-05 00:00:00,98.158.43.139,228.225.176.216,UDP,50617,16209,283,693810,129.41,Benign
2023-05-04 00:00:00,86.78.65.169,91.31.215.166,UDP,49926,62415,270,376340,78.49,Benign
2023-04-28 00:00:00,37.26.208.149,102.60.37.252,UDP,47552,33455,718,704803,86.59,Benign
2023-12-01 00:00:00,236.187.200.65,32.162.243.205,UDP,31338,36327,315,624763,59.04,R2L
2023-01-04 00:00:00,194.218.238.84,240.187.145.133,TCP,8776,53806,314,62178,250.48,U2R
2023-06-28 00:00:00,29.115.126.86,151.191.158.232,TCP,62860,5618,80,954607,35.59,Benign
2023-10-27 00:00:00,67.39.22.10,127.122.5.114,ICMP,7189,37981,469,828854,210.64,Benign
2023-12-11 00:00:00,105.132.195.178,73.100.152.23,TCP,27468,55104,455,251459,274.04,Benign
2023-02-07 00:00:00,109.12.196.2,234.119.7.194,TCP,55542,18695,735,983113,209.92,Benign
2023-05-29 00:00:00,228.50.118.124,79.186.29.69,UDP,63103,2687,327,388698,46.91,Benign
2023-08-21 00:00:00,147.119.9.182,90.67.5.65,UDP,25900,56835,712,684403,13.44,Benign
2023-04-14 00:00:00,159.40.253.164,174.223.111.111,TCP,63107,16719,312,380064,102.02,Benign
2023-07-28 00:00:00,46.0.137.185,208.146.12.54,UDP,57856,30732,47,329394,233.09,Benign
2023-10-28 00:00:00,101.47.229.236,162.93.220.181,TCP,55047,30774,370,203041,240.56,U2R
2023-01-06 00:00:00,49.173.240.177,213.136.164.27,ICMP,41390,28576,567,543968,138.44,Benign
2023-02-19 00:00:00,65.155.175.252,142.118.0.62,TCP,27396,36175,380,546892,2.94,Benign
2023-06-04 00:00:00,171.174.91.85,65.223.50.82,ICMP,45514,63075,848,653606,246.42,DoS
2023-08-25 00:00:00,163.21.95.221,189.22.59.244,TCP,2916,44509,240,740807,54.0,Benign
2023-12-21 00:00:00,156.139.115.252,204.132.198.219,TCP,56355,40376,811,906668,38.72,Benign
2023-11-16 00:00:00,233.195.103.25,214.174.121.146,ICMP,33581,60625,559,290791,20.4,U2R
2023-03-29 00:00:00,150.233.215.219,63.138.46.19,UDP,49916,3686,196,326948,13.84,Benign
2023-01-22 00:00:00,60.57.204.29,39.151.94.90,ICMP,62225,18908,502,465187,186.32,Probe
2023-10-05 00:00:00,92.96.54.36,132.57.111.178,ICMP,43830,29596,27,673514,70.72,Benign
2023-05-24 00:00:00,27.175.132.135,230.89.211.249,ICMP,48427,28276,33,324435,240.99,Benign
2023-05-01 00:00:00,103.148.30.108,105.32.243.253,ICMP,61907,5194,808,464796,72.08,Benign
2023-01-10 00:00:00,155.118.52.177,91.220.80.123,UDP,47183,29395,583,115979,82.93,Benign
2023-11-08 00:00:00,6.100.191.36,242.230.180.220,UDP,56278,61517,992,692085,140.05,Benign
2023-03-16 00:00:00,49.189.165.152,91.208.38.147,TCP,3580,891,36,736151,288.59,Benign
2023-10-09 00:00:00,43.209.214.171,210.243.252.241,UDP,50258,60490,702,843160,117.22,Benign
2023-06-12 00:00:00,177.209.18.69,202.217.196.131,ICMP,28970,55077,145,212635,112.58,Benign
2023-10-20 00:00:00,121.78.168.205,222.110.149.183,TCP,45493,7834,864,976364,72.6,Benign
2023-09-10 00:00:00,156.253.250.19,22.255.203.151,ICMP,34491,14413,526,476304,1.09,R2L
2023-05-02 00:00:00,179.143.227.43,103.41.249.0,UDP,36465,2823,940,347693,235.8,Probe
2023-11-14 00:00:00,154.200.248.129,15.69.12.90,UDP,30082,65352,8,133292,289.19,Benign
2023-03-11 00:00:00,155.91.16.128,96.220.212.4,TCP,44931,47678,580,177903,189.98,Benign
2023-11-09 00:00:00,212.19.49.139,37.27.220.238,UDP,49929,16743,241,628683,178.79,Benign
2023-06-29 00:00:00,193.122.59.220,158.137.128.223,ICMP,50015,29872,960,632513,89.68,DoS
2023-06-19 00:00:00,201.34.69.144,100.201.171.115,TCP,33812,38922,864,201161,84.04,Benign
2023-04-10 00:00:00,51.122.176.76,67.28.132.78,UDP,47073,36742,622,289915,88.6,DoS
2023-07-07 00:00:00,139.201.20.188,46.22.2.135,UDP,3690,63212,246,316882,196.03,DoS
2023-09-11 00:00:00,171.154.12.176,240.66.80.215,ICMP,4044,42902,574,852154,111.91,Benign
2023-02-26 00:00:00,137.182.108.200,107.246.186.201,ICMP,14803,27922,972,309861,283.25,Probe
2023-02-06 00:00:00,74.157.42.227,135.80.199.185,ICMP,27673,6379,438,479605,7.02,R2L
2023-04-23 00:00:00,255.227.186.95,150.159.229.48,ICMP,34686,57441,90,675447,24.61,Benign
2023-02-21 00:00:00,180.235.252.108,248.241.226.211,ICMP,7330,64549,939,939733,289.35,Benign
2023-12-29 00:00:00,130.201.131.143,162.201.136.140,TCP,18643,57559,220,803330,61.15,Benign
2023-10-29 00:00:00,137.128.85.218,48.28.60.134,TCP,39757,12295,271,83478,287.03,U2R
2023-07-27 00:00:00,94.92.4.107,44.235.199.210,ICMP,15385,7051,44,561315,116.01,Benign
2023-04-01 00:00:00,85.198.94.75,212.146.0.224,ICMP,44772,1431,689,588518,110.18,R2L
2023-09-01 00:00:00,254.120.232.24,241.55.211.238,TCP,35565,7006,3,961067,227.6,Benign
2023-03-02 00:00:00,114.133.116.108,74.121.76.128,ICMP,52874,33331,738,50347,187.34,Benign
2023-10-06 00:00:00,157.121.242.4,35.189.77.161,TCP,30241,8539,672,694661,226.47,Benign
2023-05-31 00:00:00,240.54.248.134,135.65.11.47,UDP,44797,59387,454,380089,260.9,Benign
2023-08-21 00:00:00,25.136.101.81,40.107.197.9,TCP,2825,21013,337,17294,219.51,Benign
2023-08-25 00:00:00,37.18.210.211,190.17.28.23,ICMP,27887,32440,259,681758,237.05,Probe
2023-06-06 00:00:00,33.178.235.184,233.249.189.8,UDP,52236,21351,345,655763,279.31,Probe
2023-10-27 00:00:00,90.92.205.196,47.30.181.100,UDP,9904,52926,969,912251,233.24,DoS
2023-12-22 00:00:00,229.134.191.116,38.60.244.110,TCP,64755,8604,304,699634,64.56,Benign
2023-01-05 00:00:00,182.215.149.220,228.147.72.99,TCP,8385,46807,741,131562,263.5,Benign
2023-04-30 00:00:00,25.56.130.154,65.212.147.171,ICMP,49535,39483,963,960616,295.12,U2R
2023-08-01 00:00:00,21.144.77.252,94.86.247.177,UDP,49497,37069,661,942101,92.26,Benign
2023-03-19 00:00:00,78.19.93.176,35.107.166.10,TCP,30,25752,520,100888,155.16,Benign
2023-05-16 00:00:00,14.152.91.154,12.170.253.250,TCP,52250,14824,820,184250,55.37,Probe
2023-07-10 00:00:00,50.47.212.26,131.208.146.200,TCP,23428,8099,493,711681,243.64,Benign
